experiment,tier,channel,accuracy,macro_f1,weighted_f1
E2b_with_whom_self+activity,E2b,with_whom,0.9849,0.9705,0.9849
E2b_activity_only_with_whom,E2b,activity,0.4495,0.0704,0.4053
E2b_location_self+with_whom,E2b,location,0.9860,0.9680,0.9860
E2b_location_only_activity,E2b,location,0.8659,0.6066,0.8444
E2b_enjoyment_all4,E2b,enjoyment,0.9802,0.9743,0.9802
E2b_location_self+enjoyment,E2b,location,0.9860,0.9680,0.9860
E2b_location_only_with_whom,E2b,location,0.8614,0.5182,0.8208
E2b_with_whom_only_location,E2b,with_whom,0.5045,0.2268,0.4661
E2b_activity_self+location,E2b,activity,0.9094,0.8526,0.9093
E2b_location_only_enjoyment,E2b,location,0.8280,0.3020,0.7501
E2b_with_whom_self+enjoyment,E2b,with_whom,0.9849,0.9705,0.9849
E2b_enjoyment_self+with_whom,E2b,enjoyment,0.9802,0.9742,0.9802
E2b_activity_only_location,E2b,activity,0.4845,0.0819,0.4228
E2b_with_whom_only_activity,E2b,with_whom,0.5084,0.2182,0.4670
E2b_activity_self+with_whom,E2b,activity,0.9094,0.8536,0.9094
E2b_activity_self+enjoyment,E2b,activity,0.9088,0.8486,0.9088
E2b_with_whom_only_enjoyment,E2b,with_whom,0.5044,0.1612,0.4512
E2b_with_whom_self+location,E2b,with_whom,0.9849,0.9705,0.9849
E2b_activity_self_only,E2b,activity,0.9095,0.8553,0.9095
E2b_enjoyment_only_location,E2b,enjoyment,0.2318,0.1344,0.2171
E2b_with_whom_self,E2b,with_whom,0.9849,0.9705,0.9849
E2b_enjoyment_self+location,E2b,enjoyment,0.9802,0.9744,0.9802
E2b_location_self,E2b,location,0.9860,0.9680,0.9860
E2b_activity_only_enjoyment,E2b,activity,0.4464,0.0745,0.4019
E2b_enjoyment_self+activity,E2b,enjoyment,0.9802,0.9744,0.9802
E2b_location_all4,E2b,location,0.9860,0.9680,0.9860
E2b_with_whom_all4,E2b,with_whom,0.9849,0.9705,0.9849
E2b_enjoyment_only_with_whom,E2b,enjoyment,0.2234,0.1155,0.1904
E2b_enjoyment_only_activity,E2b,enjoyment,0.2365,0.1249,0.1983
E2b_enjoyment_self,E2b,enjoyment,0.9802,0.9744,0.9802
E2b_activity_self,E2b,activity,0.9096,0.8572,0.9096
B1_region_broad_london,B1,activity,0.9270,0.8748,0.9271
B1_region_broad_london,B1,enjoyment,0.9872,0.9785,0.9872
B1_region_broad_london,B1,location,0.9874,0.9751,0.9874
B1_region_broad_london,B1,with_whom,0.9869,0.9738,0.9869
B1_region_broad_north,B1,activity,0.9139,0.8089,0.9139
B1_region_broad_north,B1,enjoyment,0.9829,0.9814,0.9829
B1_region_broad_north,B1,location,0.9879,0.9692,0.9879
B1_region_broad_north,B1,with_whom,0.9864,0.9726,0.9864
B1_region_broad_devolved,B1,activity,0.9068,0.8318,0.9066
B1_region_broad_devolved,B1,enjoyment,0.9800,0.9755,0.9800
B1_region_broad_devolved,B1,location,0.9889,0.9686,0.9889
B1_region_broad_devolved,B1,with_whom,0.9863,0.9115,0.9862
B1_region_broad_midlands,B1,activity,0.9027,0.8347,0.9027
B1_region_broad_midlands,B1,enjoyment,0.9796,0.9724,0.9796
B1_region_broad_midlands,B1,location,0.9869,0.9681,0.9869
B1_region_broad_midlands,B1,with_whom,0.9877,0.9744,0.9877
B1_region_broad_south,B1,activity,0.9156,0.8452,0.9156
B1_region_broad_south,B1,enjoyment,0.9798,0.9706,0.9798
B1_region_broad_south,B1,location,0.9877,0.9696,0.9877
B1_region_broad_south,B1,with_whom,0.9863,0.9785,0.9863
B1_econstat_broad_homemaker,B1,activity,0.8826,0.6795,0.8803
B1_econstat_broad_homemaker,B1,enjoyment,0.9791,0.9762,0.9791
B1_econstat_broad_homemaker,B1,location,0.9899,0.9588,0.9899
B1_econstat_broad_homemaker,B1,with_whom,0.9842,0.9770,0.9842
B1_econstat_broad_student,B1,activity,0.9026,0.6841,0.8987
B1_econstat_broad_student,B1,enjoyment,0.9701,0.9452,0.9701
B1_econstat_broad_student,B1,location,0.9928,0.9835,0.9928
B1_econstat_broad_student,B1,with_whom,0.9891,0.9765,0.9890
B1_econstat_broad_employed,B1,activity,0.9171,0.8598,0.9171
B1_econstat_broad_employed,B1,enjoyment,0.9848,0.9800,0.9848
B1_econstat_broad_employed,B1,location,0.9857,0.9668,0.9857
B1_econstat_broad_employed,B1,with_whom,0.9857,0.9784,0.9857
B1_econstat_broad_retired,B1,activity,0.9006,0.8335,0.9001
B1_econstat_broad_retired,B1,enjoyment,0.9826,0.9786,0.9826
B1_econstat_broad_retired,B1,location,0.9865,0.9707,0.9865
B1_econstat_broad_retired,B1,with_whom,0.9867,0.9068,0.9867
B1_econstat_broad_unemployed_sick,B1,activity,0.8903,0.7234,0.8896
B1_econstat_broad_unemployed_sick,B1,enjoyment,0.9826,0.9809,0.9826
B1_econstat_broad_unemployed_sick,B1,location,0.9939,0.9726,0.9939
B1_econstat_broad_unemployed_sick,B1,with_whom,0.9862,0.9755,0.9862
B1_age_bin_old,B1,activity,0.9055,0.8341,0.9054
B1_age_bin_old,B1,enjoyment,0.9802,0.9745,0.9802
B1_age_bin_old,B1,location,0.9871,0.9691,0.9871
B1_age_bin_old,B1,with_whom,0.9888,0.9747,0.9888
B1_age_bin_middle,B1,activity,0.9152,0.8681,0.9153
B1_age_bin_middle,B1,enjoyment,0.9829,0.9787,0.9829
B1_age_bin_middle,B1,location,0.9866,0.9701,0.9866
B1_age_bin_middle,B1,with_whom,0.9857,0.9727,0.9857
B1_age_bin_young,B1,activity,0.9077,0.7907,0.9075
B1_age_bin_young,B1,enjoyment,0.9799,0.9719,0.9799
B1_age_bin_young,B1,location,0.9871,0.9682,0.9871
B1_age_bin_young,B1,with_whom,0.9842,0.9484,0.9842
B1_income_bin_high,B1,activity,0.8588,0.6525,0.8496
B1_income_bin_high,B1,enjoyment,0.9767,0.9407,0.9766
B1_income_bin_high,B1,location,0.9806,0.9723,0.9806
B1_income_bin_high,B1,with_whom,0.9797,0.9731,0.9797
B1_income_bin_mid,B1,activity,0.8984,0.7717,0.8975
B1_income_bin_mid,B1,enjoyment,0.9803,0.9707,0.9803
B1_income_bin_mid,B1,location,0.9795,0.9677,0.9795
B1_income_bin_mid,B1,with_whom,0.9803,0.9574,0.9803
B1_income_bin_low,B1,activity,0.9114,0.8537,0.9114
B1_income_bin_low,B1,enjoyment,0.9785,0.9726,0.9785
B1_income_bin_low,B1,location,0.9878,0.9705,0.9878
B1_income_bin_low,B1,with_whom,0.9864,0.9762,0.9864
B1_survey_period_covid_and_post,B1,activity,0.9103,0.8530,0.9103
B1_survey_period_covid_and_post,B1,enjoyment,0.9797,0.9689,0.9797
B1_survey_period_covid_and_post,B1,location,0.9873,0.9675,0.9873
